,球団a,球団,選手名,打率,試合,打数,打席,安打,2塁打,3塁打,本塁打,塁打,打点
1,4,広島,鈴木 誠也(広),0.317,132,533,435,138,26,0,38,278,88
2,4,広島,坂倉 将吾(広),0.315,132,484,422,133,24,2,12,197,68
3,5,DNA,牧 秀悟(デ),0.314,137,523,487,153,35,3,22,260,71
4,2,阪神,近本 光司(神),0.313,140,612,569,178,33,5,10,251,50
5,6,DNA,桑原 将志(デ),0.31,135,571,519,161,39,2,14,246,43
6,6,DNA,佐野 恵太(デ),0.303,143,615,545,165,34,2,17,254,72
7,6,DNA,宮﨑 敏郎(デ),0.301,141,569,519,156,32,0,16,236,73
8,4,広島,小園 海斗(広),0.298,113,481,449,134,18,6,5,179,35
9,5,中日,大島 洋平(中),0.292,141,596,548,160,19,5,1,192,34
10,4,広島,西川 龍馬(広),0.286,137,551,504,144,19,1,12,201,60
10,2,阪神,糸原 健斗(神),0.286,125,488,441,126,17,3,2,155,30
12,1,ヤクルト,中村 悠平(ヤ),0.279,123,445,377,105,24,0,2,135,36
13,1,ヤクルト,塩見 泰隆(ヤ),0.2784,140,534,474,132,21,7,14,209,59
14,1,ヤクルト,村上 宗隆(ヤ),0.278,143,615,500,139,27,0,39,283,112
15,4,広島,菊池 涼介(広),0.277,132,542,494,137,23,2,16,212,60
16,5,中日,ビシエド(中),0.275,130,526,480,132,23,1,17,208,70
17,3,巨人,松原 聖弥(巨),0.274,135,477,431,118,20,4,12,182,37
18,2,阪神,中野 拓夢(神),0.273,135,525,466,127,15,4,1,153,36
19,1,ヤクルト,山田 哲人(ヤ),0.272,137,581,493,134,18,0,34,254,101
20,3,巨人,坂本 勇人(巨),0.271,117,487,424,115,26,0,19,198,46
21,3,巨人,丸 佳浩(巨),0.2653,118,457,392,104,21,0,23,194,55
22,3,巨人,岡本 和真(巨),0.2648,143,592,521,138,19,1,39,276,113
23,2,阪神,大山 悠輔(神),0.26,129,512,466,121,23,2,21,211,71
24,5,中日,高橋 周平(中),0.259,137,520,475,123,27,0,5,165,39
25,1,ヤクルト,オスナ(ヤ),0.2579,120,495,469,121,24,2,13,188,60
26,2,阪神,マルテ(神),0.2578,128,526,446,115,18,1,22,201,71
26,1,ヤクルト,青木 宣親(ヤ),0.2578,122,501,446,115,29,0,9,171,56
28,5,中日,京田 陽太(中),0.257,113,448,409,105,7,4,3,129,24
29,2,阪神,サンズ(神),0.248,120,461,408,101,21,1,20,184,65
30,2,阪神,佐藤 輝明(神),0.238,126,455,425,101,25,0,24,198,64
31,6,DNA,ソト(デ),0.234,123,451,410,96,18,1,21,179,62
32,2,阪神,梅野 隆太郎(神),0.225,130,458,404,91,15,3,3,121,33
